guid,tag
4524,neutral
4342,positive
3903,positive
4864,positive
3013,positive
869,negative
3864,positive
2324,positive
2705,neutral
3787,negative
4115,neutral
4484,positive
3786,negative
1817,positive
4187,positive
3539,negative
3938,negative
4421,negative
4859,positive
1639,positive
4670,positive
1058,neutral
3497,positive
1209,positive
1716,positive
1477,positive
2442,positive
1066,positive
1376,positive
556,positive
2738,neutral
1906,negative
735,positive
4756,negative
2366,neutral
216,positive
2032,positive
1781,neutral
3850,negative
3753,positive
5103,positive
4810,positive
2152,positive
743,positive
4111,neutral
2126,negative
1985,positive
2049,positive
1289,positive
4940,positive
577,positive
883,negative
835,positive
5023,positive
1424,positive
2318,neutral
1455,negative
3750,negative
3694,negative
2384,positive
134,negative
4395,negative
1420,positive
777,positive
4278,positive
1135,positive
34,positive
1089,neutral
3563,negative
80,negative
820,positive
1238,neutral
3169,negative
1877,positive
1355,positive
3667,negative
1134,positive
3640,positive
2018,positive
4140,negative
1780,negative
3634,positive
1626,positive
2403,negative
3213,negative
5005,negative
5119,positive
1390,neutral
3730,positive
1703,negative
2954,positive
1136,positive
1047,positive
4952,positive
1458,positive
4565,positive
3091,positive
1924,negative
930,negative
1595,positive
2851,positive
3360,negative
1686,positive
1610,positive
3075,negative
2973,positive
1957,negative
1481,positive
2925,neutral
4733,positive
1821,positive
4126,positive
321,positive
615,positive
663,positive
1463,positive
1154,positive
2071,positive
1564,negative
655,positive
1668,positive
1789,positive
3427,positive
1998,positive
1053,positive
2509,positive
3344,negative
3849,positive
544,positive
4075,positive
448,negative
2009,positive
4908,negative
3812,positive
5003,negative
5026,positive
4371,negative
1032,positive
4573,positive
2492,positive
1950,negative
4088,neutral
1196,neutral
832,negative
1158,negative
2373,positive
4110,neutral
4642,positive
4136,negative
1920,positive
5060,positive
1815,positive
589,negative
2793,neutral
1451,negative
4305,positive
4511,positive
1043,positive
3819,negative
1204,negative
951,negative
3758,positive
2165,neutral
3553,negative
3592,positive
608,negative
2685,negative
146,neutral
601,positive
605,positive
2810,negative
809,positive
3461,positive
3597,positive
4092,neutral
1186,positive
3067,positive
4711,negative
3128,positive
2436,positive
289,positive
1723,positive
2336,positive
368,positive
3244,positive
1253,positive
4617,positive
253,negative
419,positive
4943,negative
1441,neutral
3069,positive
1785,negative
2494,positive
1811,negative
2468,positive
1724,positive
571,positive
1547,negative
495,positive
3258,positive
728,positive
4778,positive
4443,positive
5081,negative
4208,positive
4840,negative
4927,positive
5067,negative
3210,negative
3472,positive
1607,negative
1776,negative
4119,neutral
726,positive
297,negative
1936,positive
2048,positive
1166,positive
4109,positive
1283,positive
182,positive
4139,negative
3343,positive
3335,positive
1259,positive
2776,positive
1319,negative
1151,positive
12,positive
2739,positive
4059,negative
3333,neutral
113,positive
1975,positive
4162,positive
2543,positive
1287,positive
3791,positive
3386,positive
4381,negative
4060,positive
3313,negative
729,positive
156,positive
1690,positive
4618,positive
1647,positive
3560,positive
5116,negative
806,positive
3680,positive
1271,positive
4906,positive
545,positive
3788,positive
4516,positive
4083,positive
3724,positive
756,positive
752,neutral
4645,neutral
2349,positive
559,negative
4604,positive
2926,positive
1414,positive
3491,negative
1793,positive
14,positive
4938,negative
371,negative
1741,negative
4799,neutral
1430,positive
2836,negative
3060,negative
4724,positive
2,positive
2376,positive
3646,positive
49,positive
3720,positive
5018,positive
4969,positive
1027,negative
1995,positive
4512,positive
1972,negative
1153,neutral
3939,positive
1904,neutral
1258,positive
3055,negative
2843,negative
1454,positive
4150,neutral
74,positive
1234,positive
3732,negative
2578,negative
1188,neutral
2596,positive
4252,positive
4337,negative
2897,positive
4508,positive
901,negative
3977,negative
3824,negative
3636,negative
701,negative
787,positive
823,positive
1256,positive
2508,positive
4149,positive
2124,negative
4989,negative
3686,positive
4896,negative
4781,negative
4515,neutral
4808,positive
4314,positive
217,positive
3837,positive
3797,neutral
249,negative
254,negative
914,positive
3372,positive
2053,positive
2125,negative
2693,negative
4713,positive
2065,positive
2374,neutral
1520,negative
3021,positive
496,positive
1075,positive
3688,positive
3445,negative
3444,negative
4456,negative
1091,positive
4452,negative
2601,positive
4199,positive
215,positive
3602,neutral
4411,positive
25,neutral
382,negative
1597,positive
4206,positive
3506,positive
3481,positive
818,negative
2030,positive
1955,negative
4338,positive
3452,negative
3829,neutral
4188,negative
2690,negative
1828,positive
2913,negative
3412,negative
1749,positive
685,negative
389,negative
651,positive
583,positive
1157,negative
4855,negative
3368,positive
4016,positive
3537,neutral
2725,neutral
3320,negative
3693,neutral
2551,negative
2774,negative
243,neutral
4666,positive
5004,negative
280,negative
1798,positive
3916,negative
3507,positive
4932,neutral
4497,positive
83,positive
3929,positive
1062,positive
3631,positive
95,positive
251,positive
509,positive
331,negative
4333,negative
226,positive
2993,negative
2864,neutral
5011,positive
1367,negative
3377,neutral
4636,positive
3207,negative
2059,positive
3586,positive
688,positive
3332,negative
4261,positive
3562,negative
307,positive
3140,negative
897,positive
5120,positive
3357,positive
4244,positive
3627,positive
1944,positive
680,negative
836,negative
5024,positive
2488,positive
3798,positive
94,positive
3985,positive
922,negative
2726,neutral
4892,negative
2934,positive
1006,positive
3616,negative
2798,positive
3240,positive
3373,positive
614,neutral
2455,negative
40,positive
3981,negative
3569,negative
1720,positive
3546,negative
106,neutral
3573,positive
499,positive
2097,positive
4917,negative
4316,positive
3681,positive
3143,positive
4117,positive
1884,neutral
3504,positive
1313,positive
511,neutral
3418,positive
1618,positive
4393,negative
4043,positive
1434,positive
4219,positive
1567,positive
1388,positive
191,positive
2035,positive
3988,negative
33,neutral
395,positive
4988,positive
1403,negative
2314,positive
4561,positive
1818,negative
4633,positive
157,positive
3595,positive
784,negative
2883,positive
1179,neutral
4570,negative
427,positive
26,neutral
2848,negative
3997,negative
2919,positive
703,negative
4326,positive
4831,negative
3983,positive
2076,positive
1389,negative
1712,negative
880,negative
4707,neutral
375,negative
4582,positive
2868,neutral
1981,positive
195,negative
234,negative
3408,positive
602,negative
2052,positive
1788,positive
560,positive
3644,negative
4762,negative
1728,positive
4166,negative
3558,positive
779,neutral
3726,negative
3756,positive
4127,negative
2425,positive
2663,negative
791,positive
2898,negative
1343,positive
18,positive
4866,negative
695,positive
2767,positive
4834,negative
4012,positive
3076,neutral
1695,negative
1546,negative
1103,positive
3112,negative
78,positive
4813,neutral
1358,positive
1261,neutral
3064,negative
2117,positive
4384,negative
2339,negative
1802,positive
531,neutral
3425,positive
2589,positive
3334,positive
1200,positive
4280,positive
3648,positive
724,positive
2975,negative
4819,negative
3984,negative
4330,negative
3168,negative
2489,positive
2378,positive
4725,positive
895,positive
1340,negative
3047,negative
3387,positive
1419,neutral
4955,positive
3045,positive
3968,negative
2454,neutral
1669,positive
4325,negative
1744,positive
4755,negative
3328,positive
935,negative
715,positive
2327,positive
585,positive
2641,negative
2462,negative
434,positive
4993,positive
2357,positive
179,negative
968,positive
3632,positive
1738,negative
35,positive
5080,positive
3018,positive
228,positive
4498,positive
294,positive
4146,negative
1856,negative
3077,negative
2136,positive
3078,negative
4473,positive
4791,positive
2684,neutral
1923,positive
1685,positive
3361,positive
2795,positive
4340,positive
1905,neutral
3801,positive
2139,positive
1325,positive
1987,positive
4730,positive
4712,negative
3853,positive
4571,negative
4151,neutral
1758,positive
1938,positive
4352,negative
3166,negative
19,negative
1464,positive
3489,positive
4924,negative
3802,positive
2532,positive
4235,positive
1442,positive
1001,positive
2660,positive
3779,negative
4863,neutral
4749,positive
2760,positive
4080,neutral
47,positive
1162,neutral
4546,positive
1519,positive
4154,negative
4077,positive
2941,positive
3544,negative
868,neutral
1221,positive
3487,positive
2063,negative
1822,negative
2312,negative
5073,negative
2669,positive
4049,positive
4028,positive
1064,positive
1646,positive
4051,positive
1125,neutral
4566,neutral
4562,negative
5054,positive
2956,positive
3993,positive
3612,neutral
4745,negative
1040,positive
1910,negative
3460,neutral
1677,positive
4782,positive
3488,negative
2751,positive
800,positive
4295,negative
3434,negative
3034,positive
1836,positive
4358,positive
613,positive
4773,positive
619,positive
1026,neutral
4830,negative
222,positive
1730,negative
2720,neutral
1181,positive
1474,positive
4081,positive
5114,positive
3100,positive
4737,negative
649,positive
1219,positive
